uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
Q96AC1|Pleckstrin homology domain-containing family C member 1PH domain-containing family C member 1
Q96AC1|Mitogen-inducible gene 2 proteinMIG-2
Q96AC1|Kindlin-2
Q96AE4|DNA helicase VhDH V
O95297|Protein zero-related
Q96KB5|Cancer/testis antigen 84CT84
Q96KB5|MAPKK-like protein kinase
Q96KB5|PDZ-binding kinase
Q96KB5|Nori-3
Q96KB5|Spermatogenesis-related protein kinaseSPK
Q96KB5|T-LAK cell-originated protein kinase
Q9NPY3|CDw93
Q9NPY3|Complement component 1 q subcomponent receptor 1
Q9NPY3|Matrix-remodeling-associated protein 4
Q9NPY3|C1q/MBL/SPA receptorC1qRC1qR(p)C1qRp
P05106|Platelet membrane glycoprotein IIIaGPIIIa

O15056|Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2

Q13905|CRK SH3-binding GNRP
Q13905|Guanine nucleotide-releasing factor 2
Q13905|Protein C3G
P63010|Plasma membrane adaptor HA2/AP2 adaptin beta subunit
P63010|Clathrin assembly protein complex 2 beta large chain
P63010|Beta-adaptin
P63010|Beta-2-adaptin
P63010|Adaptor-related protein complex 2 subunit beta
P63010|Adaptor protein complex AP-2 subunit beta
P63010|AP105B
P51809|Synaptobrevin-like protein 1
P51809|Tetanus-insensitive VAMPTi-VAMP
Q12913|Density-enhanced phosphatase 1DEP-1
Q12913|HPTP eta
Q12913|Protein-tyrosine phosphatase receptor type JR-PTP-J

Q9P219|Coiled-coil domain-containing protein 88C
Q9P219|Dvl-associating protein with a high frequency of leucine residueshDaple
Q9P219|Hook-related protein 2HkRP2
P19404|NADH-ubiquinone oxidoreductase 24 kDa subunit
P52789|Hexokinase type IIHK II
P52789|Hexokinase-B
P52789|Muscle form hexokinase
P23743|Diglyceride kinase alphaDGK-alpha
P23743|80 kDa diacylglycerol kinase



P23528|Cofilin, non-muscle isoform
P23528|18 kDa phosphoproteinp18
P37173|Transforming growth factor-beta receptor type IITGF-beta receptor type IITbetaR-II
P37173|TGF-beta type II receptor

P53801|Pituitary tumor-transforming gene protein-binding factorPBFPTTG-binding factor
P31040|Flavoprotein subunit of complex IIFp
O14746|HEST2
O14746|Telomerase catalytic subunit
O14746|Telomerase-associated protein 2TP2

P67775|Replication protein CRP-C
P57737|70 kDa WD repeat tumor rejection antigen homolog
Q14289|Proline-rich tyrosine kinase 2
Q14289|Related adhesion focal tyrosine kinaseRAFTK
Q14289|Cell adhesion kinase betaCAK-betaCAKB
Q14289|Focal adhesion kinase 2FADK 2
Q14289|Calcium-dependent tyrosine kinaseCADTK
Q14289|Calcium-regulated non-receptor proline-rich tyrosine kinase
P30556|AT1AR
P30556|AT1BR
P30556|Angiotensin II type-1 receptorAT1
P02786|p90
P02786|T9
P34741|Fibroglycan
P34741|Heparan sulfate proteoglycan core proteinHSPG
Q92558|Protein WAVE-1
Q92558|Verprolin homology domain-containing protein 1
P22001|HPCN3
P22001|Voltage-gated K(+) channel HuKIII
P22001|Voltage-gated potassium channel subunit Kv1.3
P22001|HGK5
P22001|HLK3
A1X283|Adapter protein HOFI
A1X283|Factor for adipocyte differentiation 49
A1X283|Tyrosine kinase substrate with four SH3 domains
Q99439|Calponin H2, smooth muscle
Q99439|Neutral calponin
Q969H4|CNK homolog protein 1CNK1hCNK1
Q969H4|Connector enhancer of KSR-like
P16591|Proto-oncogene c-Fer
P16591|Fujinami poultry sarcoma/Feline sarcoma-related protein Fer
P16591|p94-Fer
P16591|Tyrosine kinase 3
P16591|Feline encephalitis virus-related kinase FER
Q00610|Clathrin heavy chain on chromosome 17CLH-17
Q9NZC7|Short chain dehydrogenase/reductase family 41C member 1
Q9NZC7|Fragile site FRA16D oxidoreductase
Q05586|N-methyl-D-aspartate receptor subunit NR1NMD-R1
Q05586|Glutamate [NMDA] receptor subunit zeta-1
Q7L0Q8|Wnt-1 responsive Cdc42 homolog 1WRCH-1
Q7L0Q8|Ryu GTPase
Q7L0Q8|Rho GTPase-like protein ARHU
Q7L0Q8|GTP-binding protein-like 1
Q7L0Q8|CDC42-like GTPase 1
Q9BZG1|Ras-related protein Rab-39
Q9BZG1|Ras-related protein Rah
P35968|Fetal liver kinase 1FLK-1
P35968|Kinase insert domain receptorKDR
P35968|Protein-tyrosine kinase receptor flk-1
P51813|Bone marrow tyrosine kinase gene in chromosome X protein
P51813|Epithelial and endothelial tyrosine kinaseETK
P51813|NTK38
P00519-2|Abelson murine leukemia viral oncogene homolog 1
P00519-2|Abelson tyrosine-protein kinase 1
P00519-2|Proto-oncogene c-Abl
P00519-2|p150
P14923|Desmoplakin-3
P14923|Desmoplakin III
P14923|Catenin gamma
Q8WWM7|Ataxin-2 domain protein
Q8WWM7|Ataxin-2-related protein
Q13017|Rho-type GTPase-activating protein 5
Q13017|p190-B

Q6UN15|FIP1-like 1 protein
Q6UN15|Rearranged in hypereosinophilia
Q6UN15|Factor interacting with PAP
P08727|Cytokeratin-19CK-19
P08727|Keratin-19K19
Q14721|Delayed rectifier potassium channel 1DRK1h-DRK1
Q14721|Voltage-gated potassium channel subunit Kv2.1
Q9UN19|B lymphocyte adapter protein Bam32
Q9UN19|B-cell adapter molecule of 32 kDa
P11511|CYPXIX
P11511|Cytochrome P-450AROM
P11511|Cytochrome P450 19A1
P11511|Estrogen synthase
Q9UK17|Voltage-gated potassium channel subunit Kv4.3
Q9NR80-3|APC-stimulated guanine nucleotide exchange factor 1AsefAsef1
P50281|MMP-X1
P50281|Membrane-type-1 matrix metalloproteinaseMT1-MMPMT1MMP
P50281|Membrane-type matrix metalloproteinase 1MT-MMP 1MTMMP1
O43613|Hypocretin receptor type 1
P12235|ADP,ATP carrier protein 1
P12235|ADP,ATP carrier protein, heart/skeletal muscle isoform T1
P12235|Adenine nucleotide translocator 1ANT 1
P12235|Solute carrier family 25 member 4
Q9Y6K9|FIP-3
Q9Y6K9|NF-kappa-B essential modifier
Q9Y6K9|Inhibitor of nuclear factor kappa-B kinase subunit gammaI-kappa-B kinase subunit gammaIKK-gammaIKKGIkB kinase subunit gamma
Q9Y6K9|IkB kinase-associated protein 1IKKAP1
P42338|Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit betaPtdIns-3-kinase subunit p110-betap110beta
Q12800|Transcription factor LSF
Q12800|SAA3 enhancer factor
Q8TDN4|Interactor with CDK3 1Ik3-1
Q9H4A3|Erythrocyte 65 kDa proteinp65
Q9H4A3|Kinase deficient protein
Q9H4A3|Protein kinase lysine-deficient 1
Q9H4A3|Protein kinase with no lysine 1hWNK1
Q16620|GP145-TrkBTrk-B
Q16620|Neurotrophic tyrosine kinase receptor type 2
Q16620|TrkB tyrosine kinase
Q16620|Tropomyosin-related kinase B
E9PAV3|Alpha-NAC, muscle-specific formskNAC
P38432|p80-coilin
P0C0S8|Histone H2A/ptl
O75469|Orphan nuclear receptor PAR1
O75469|Orphan nuclear receptor PXR
O75469|Pregnane X receptor
O75469|Steroid and xenobiotic receptorSXR
O75531|Breakpoint cluster region protein 1
Q99986|Vaccinia-related kinase 1
P49757|Protein S171
Q6STE5|60 kDa BRG-1/Brm-associated factor subunit C
Q6STE5|BRG1-associated factor 60CBAF60C
P50613|39 kDa protein kinasep39 Mo15
P50613|CDK-activating kinase 1
P50613|Cell division protein kinase 7
P50613|Serine/threonine-protein kinase 1
P50613|TFIIH basal transcription factor complex kinase subunit
P78545|Epithelium-specific Ets transcription factor 1ESE-1
P78545|Epithelial-restricted with serine box
P78545|Epithelium-restricted Ets protein ESX
P78545|E74-like factor 3
Q16236|HEBP1
Q16236|Nuclear factor, erythroid derived 2, like 2
Q9NPB6|Tax interaction protein 40TIP-40
Q9NPB6|PAR6C
Q9H8V3|Epithelial cell-transforming sequence 2 oncogene
P43403|70 kDa zeta-chain associated protein
P43403|Syk-related tyrosine kinase
Q9UJU6|HPK1-interacting protein of 55 kDaHIP-55
Q9UJU6|Drebrin-F
Q9UJU6|Cervical mucin-associated protein
Q9UJU6|Cervical SH3P7
Q9UJU6|SH3 domain-containing protein 7
Q8N1K5|Thymocyte-expressed molecule involved in selection
Q16539|Cytokine suppressive anti-inflammatory drug-binding proteinCSAID-binding proteinCSBP
Q16539|MAP kinase MXI2
Q16539|MAX-interacting protein 2
Q16539|Mitogen-activated protein kinase p38 alphaMAP kinase p38 alpha
Q16539|Stress-activated protein kinase 2aSAPK2a
P27348|14-3-3 protein T-cell
P27348|14-3-3 protein tau
P27348|Protein HS1
P55196|ALL1-fused gene from chromosome 6 proteinProtein AF-6
P55196|Afadin adherens junction formation factor

Q9H3D4|Keratinocyte transcription factor KET
Q9H3D4|Transformation-related protein 63TP63
Q9H3D4|Tumor protein p73-likep73L
Q9H3D4|Chronic ulcerative stomatitis proteinCUSP
Q9H3D4|p40
Q9H3D4|p51
Q96B36|40 kDa proline-rich AKT substrate
P42681|Resting lymphocyte kinase
P42681|Protein-tyrosine kinase 4

P17181|Type I interferon receptor 1
P17181|Cytokine receptor family 2 member 1CRF2-1
P17181|Cytokine receptor class-II member 1
O15304|CD27-binding proteinCD27BP
O43294|Androgen receptor coactivator 55 kDa protein
O43294|Androgen receptor-associated protein of 55 kDa
O43294|Hydrogen peroxide-inducible clone 5 proteinHic-5
Q15633|TAR RNA-binding protein 2
Q15633|Trans-activation-responsive RNA-binding protein
Q6R327|AVO3 homologhAVO3
Q13882|Breast tumor kinase
Q13882|Tyrosine-protein kinase BRK
Q96P48|Centaurin-delta-2Cnt-d2
P09467|D-fructose-1,6-bisphosphate 1-phosphohydrolase 1
P09467|Liver FBPase
Q15436|SEC23-related protein A

P08237|6-phosphofructokinase type A
P08237|Phosphofructo-1-kinase isozyme APFK-A
P08237|Phosphohexokinase
P06733|2-phospho-D-glycerate hydro-lyase
P06733|C-myc promoter-binding protein
P06733|Enolase 1
P06733|MBP-1
P06733|MPB-1
P06733|Non-neural enolaseNNE
P06733|Phosphopyruvate hydratase
P06733|Plasminogen-binding protein
Q8NFG4|BHD skin lesion fibrofolliculoma protein
Q8NFG4|Birt-Hogg-Dube syndrome protein

O15027|SEC16 homolog Ap250
Q9Y4P1|AUT-like 1 cysteine endopeptidase
Q9Y4P1|Autophagin-1
Q9Y4P1|Autophagy-related cysteine endopeptidase 1
Q9Y4P1|Autophagy-related protein 4 homolog BhAPG4B

O95140|Transmembrane GTPase MFN2
Q08881|T-cell-specific kinase
Q08881|Tyrosine-protein kinase Lyk
Q08881|Kinase EMT
Q08881|Interleukin-2-inducible T-cell kinaseIL-2-inducible T-cell kinase
Q99952|Brain-derived phosphatase
P09038-2|Basic fibroblast growth factorbFGF
P09038-2|Heparin-binding growth factor 2HBGF-2

Q96PY6|Never in mitosis A-related kinase 1NimA-related protein kinase 1
Q96PY6|Renal carcinoma antigen NY-REN-55
Q99728|RING-type E3 ubiquitin transferase BARD1
P19338|Protein C23
Q9NTG7|Regulatory protein SIR2 homolog 3
Q9NTG7|SIR2-like protein 3
Q06830|Natural killer cell-enhancing factor ANKEF-A
Q06830|Proliferation-associated gene proteinPAG
Q06830|Thioredoxin peroxidase 2
Q06830|Thioredoxin-dependent peroxide reductase 2
P18031|Protein-tyrosine phosphatase 1BPTP-1B
Q96R06|Astrin
Q96R06|Deepest
Q96R06|Mitotic spindle-associated protein p126MAP126
Q9NTI5|Androgen-induced proliferation inhibitor
Q9NTI5|Androgen-induced prostate proliferative shutoff-associated protein AS3
Q14CB8|Rho-type GTPase-activating protein 19
O75122|Cytoplasmic linker-associated protein 2
O75122|Protein Orbit homolog 2hOrbit2
Q14978|140 kDa nucleolar phosphoproteinNopp140
Q14978|Hepatitis C virus NS5A-transactivated protein 13HCV NS5A-transactivated protein 13
Q14978|Nucleolar 130 kDa protein
Q14978|Nucleolar phosphoprotein p130
Q14643|Type 1 inositol 1,4,5-trisphosphate receptorType 1 InsP3 receptor
Q14643|IP3 receptor isoform 1IP3R 1InsP3R1
Q9Y6I3|EPS-15-interacting protein 1
Q9Y6I3|EH domain-binding mitotic phosphoprotein
Q14202|Zinc finger protein 261
Q9H1A4|Cyclosome subunit 1
Q9H1A4|Mitotic checkpoint regulator
Q9H1A4|Testis-specific gene 24 protein
Q8IZD2|Myeloid/lymphoid or mixed-lineage leukemia protein 5
Q02880|DNA topoisomerase II, beta isozyme

Q9GZM8|Mitosin-associated protein 1
P17096|High mobility group protein R
P17096|High mobility group AT-hook protein 1High mobility group protein A1
Q16659|MAP kinase isoform p97p97-MAPK
Q16659|Extracellular signal-regulated kinase 3ERK-3
Q01581|3-hydroxy-3-methylglutaryl coenzyme A synthase
Q9NZT2|Zeta-type opioid receptor
Q9NZT2|Protein 7-60

O94761|DNA helicase, RecQ-like type 4RecQ4
O94761|RTS
O94761|RecQ protein-like 4



O43148|RG7MT1
O43148|mRNA (guanine-N(7)-)-methyltransferase
O43148|mRNA cap methyltransferasehCMT1hcm1phMet

Q9BYG3|Nucleolar phosphoprotein Nopp34
Q9BYG3|Nucleolar protein interacting with the FHA domain of pKI-67hNIFK
P63279|RING-type E3 SUMO transferase UBC9
P63279|SUMO-protein ligase
P63279|Ubiquitin carrier protein 9
P63279|Ubiquitin carrier protein I
P63279|Ubiquitin-conjugating enzyme E2 I
P63279|Ubiquitin-protein ligase I
P63279|p18
Q09666|Desmoyokin

Q13042|Anaphase-promoting complex subunit 6APC6
Q13042|CDC16 homologCDC16Hs
Q13042|Cyclosome subunit 6
O94782|Deubiquitinating enzyme 1hUBP
O94782|Ubiquitin thioesterase 1
O94782|Ubiquitin-specific-processing protease 1

Q92574|Tuberous sclerosis 1 protein
O15446|A34.5
O15446|CD3-epsilon-associated proteinCASTCD3E-associated protein
O15446|Antisense to ERCC-1 proteinASE-1
O15446|RNA polymerase I-associated factor PAF49
Q99661|Mitotic centromere-associated kinesinMCAK
Q99661|Kinesin-like protein 6
Q92993|60 kDa Tat-interactive proteinTip60
Q92993|Histone acetyltransferase HTATIPHIV-1 Tat interactive protein
Q92993|Lysine acetyltransferase 5
Q92993|cPLA(2)-interacting protein
Q5FBB7|Serologically defined breast cancer antigen NY-BR-85
Q5FBB7|Shugoshin-like 1
Q01167|G/T-mismatch specific binding proteinnGTBP
Q01167|Interleukin enhancer-binding factor 1
Q9NZJ0|Retinoic acid-regulated nuclear matrix-associated protein
Q9NZJ0|DDB1- and CUL4-associated factor 2
Q9NZJ0|Lethal(2) denticleless protein homolog
P49915|Glutamine amidotransferase
P49915|GMP synthetase
P33316-2|dUTP pyrophosphatase

O00443|Phosphoinositide 3-kinase-C2-alpha

P43307|Signal sequence receptor subunit alphaSSR-alpha
Q8IWB6|Protein kinase-like protein SgK307
Q8IWB6|Testis-expressed sequence 14
Q8IWB6|Sugen kinase 307
Q8IWB6|Testis-expressed sequence 14 protein
P98170|Baculoviral IAP repeat-containing protein 4
P98170|IAP-like proteinhILPILP
P98170|Inhibitor of apoptosis protein 3IAP-3hIAP3hIAP-3
P98170|RING-type E3 ubiquitin transferase XIAP
P98170|X-linked inhibitor of apoptosis proteinX-linked IAP
Q04637|p220
P48200|Iron regulatory protein 2IRP2
O60566|MAD3/BUB1-related protein kinasehBUBR1
O60566|Mitotic checkpoint kinase MAD3L
O60566|Protein SSK1
P49459|E2 ubiquitin-conjugating enzyme A
P49459|RAD6 homolog AhHR6AHR6A
P49459|Ubiquitin carrier protein A
P49459|Ubiquitin-protein ligase A
Q08050|Transcription factor Trident
Q08050|MPM-2 reactive phosphoprotein 2
Q08050|Winged-helix factor from INS-1 cells
Q08050|Hepatocyte nuclear factor 3 forkhead homolog 11HFH-11HNF-3/fork-head homolog 11
Q08050|M-phase phosphoprotein 2
Q08050|Forkhead-related protein FKHL16
O94762|DNA helicase, RecQ-like type 5RecQ5
O94762|RecQ protein-like 5
Q08050-2|Forkhead-related protein FKHL16
Q08050-2|Hepatocyte nuclear factor 3 forkhead homolog 11HNF-3/fork-head homolog 11HFH-11
Q08050-2|M-phase phosphoprotein 2
Q08050-2|MPM-2 reactive phosphoprotein 2
Q08050-2|Transcription factor Trident
Q08050-2|Winged-helix factor from INS-1 cells
P18754|Cell cycle regulatory protein
P18754|Chromosome condensation protein 1
Q14807|Kinesin-like protein 4
Q14807|Kinesin-like DNA-binding protein
P15927|Replication factor A protein 2RF-A protein 2
P15927|Replication protein A 34 kDa subunitRP-A p34
P0C1Z6|Protein FB1
P0C1Z6|INO80 complex subunit F
O43683|BUB1A
O00571|Helicase-like protein 2HLP2
O00571|DEAD box, X isoform
O00571|DEAD box protein 3, X-chromosomal
P26368|U2 auxiliary factor 65 kDa subunithU2AF(65)hU2AF65
P26368|U2 snRNP auxiliary factor large subunit
Q14CS0|p97 cofactor p37
Q14CS0|NSFL1 cofactor p37
Q14739|3-beta-hydroxysterol Delta (14)-reductase
Q14739|C-14 sterol reductaseC14SR
Q14739|Integral nuclear envelope inner membrane protein
Q14739|LMN2R
Q14739|Lamin-B receptor
Q14739|Sterol C14-reductase
Q9UNZ2|p97 cofactor p47
Q9UNZ2|UBX domain-containing protein 2C

O15287|DNA repair protein XRCC9
O60610|Diaphanous-related formin-1DRF1
Q12959|Synapse-associated protein 97SAP97SAP-97
Q12959|hDlg

Q9UPU5|Ubiquitin thioesterase 24
Q9UPU5|Deubiquitinating enzyme 24
Q9UPU5|Ubiquitin-specific-processing protease 24
Q9UJX5|Cyclosome subunit 4
Q53EZ4|Up-regulated in colon cancer 6
Q14C86|GAPex-5
Q14C86|Rab5-activating protein 6
P06748|Numatrin
P06748|Nucleolar protein NO38
P06748|Nucleolar phosphoprotein B23

P22392|C-myc purine-binding transcription factor PUF
P22392|Histidine protein kinase NDKB
P22392|nm23-H2
Q14157|Protein NICE-4
O75154|EF hands-containing Rab-interacting proteinEferin
O75154|Arfophilin-1
O75154|MU-MB-17.148
Q8NCD3|Up-regulated in lung cancer 9
Q8NCD3|14-3-3-associated AKT substrate
Q8NCD3|Fetal liver-expressing gene 1 protein
Q5BJF6-3|Cenexin
Q5BJF6-3|Outer dense fiber of sperm tails protein 2

P33316|dUTP pyrophosphatase
Q16513|Protein-kinase C-related kinase 2
Q16513|Protein kinase C-like 2
Q16513|PKN gamma
O00562|Drosophila retinal degeneration B homolog
O00562|Phosphatidylinositol transfer protein, membrane-associated 1PITPnm 1
O00562|Pyk2 N-terminal domain-interacting receptor 2NIR-2
Q9Y2V2|Calcium-regulated heat-stable protein of 24 kDaCRHSP-24
P30305-2|Dual specificity phosphatase Cdc25B


O14773|Cell growth-inhibiting gene 1 protein
O14773|Lysosomal pepstatin-insensitive proteaseLPIC
O14773|Tripeptidyl aminopeptidase
O14773|Tripeptidyl-peptidase ITPP-I
P31350|Ribonucleotide reductase small chain
P31350|Ribonucleotide reductase small subunit
Q9UHD8-2|MLL septin-like fusion protein MSF-AMLL septin-like fusion protein
Q9UHD8-2|Ovarian/Breast septinOv/Br septin
Q9UHD8-2|Septin D1
Q8WWK9|CTCL tumor antigen se20-10
Q8WWK9|Tumor- and microtubule-associated protein

O95251|Histone acetyltransferase binding to ORC1
O95251|Lysine acetyltransferase 7
O95251|MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2MYST-2
Q8TAP9|TTD non-photosensitive 1 protein
P82970|Nucleosome-binding protein 1
Q9UBF8|NPIK
Q9UBF8|PI4K92
Q9UBF8|PI4KIII
Q96JH7|Valosin-containing protein p97/p47 complex-interacting protein p135VCP/p47 complex-interacting 135-kDa protein
Q96JH7|Valosin-containing protein p97/p47 complex-interacting protein 1
Q99666|Ran-binding protein 2-like 1/2RanBP2-like 1/2RanBP2L1RanBP2L2
Q99666|Sperm membrane protein BS-63
Q9H4X1|Response gene to complement 32 proteinRGC-32


Q9UJX2|Cyclosome subunit 8
Q9UJX2|Anaphase-promoting complex subunit 8APC8
Q2M2I8|Adaptor-associated kinase 1
P49916|DNA ligase III
P49916|Polydeoxyribonucleotide synthase [ATP] 3
O14715|Ran-binding protein 2-like 3RanBP2-like 3RanBP2L3
P35251|Activator 1 large subunit
P35251|Activator 1 subunit 1
P35251|DNA-binding protein PO-GA
P35251|Replication factor C 140 kDa subunitRF-C 140 kDa subunitRFC140
P35251|Replication factor C large subunit
P35251|Activator 1 140 kDa subunitA1 140 kDa subunit
P17706-2|T-cell protein-tyrosine phosphataseTCPTP
Q9Y3Z3|Dendritic cell-derived IFNG-induced proteinDCIP
Q9Y3Z3|Monocyte protein 5MOP-5
Q9Y3Z3|SAM domain and HD domain-containing protein 1hSAMHD1
Q9UJ70|GlcNAc kinase
O14745|Solute carrier family 9 isoform A3 regulatory factor 1
O14745|Sodium-hydrogen exchanger regulatory factor 1
O14745|Regulatory cofactor of Na(+)/H(+) exchanger
O14745|Ezrin-radixin-moesin-binding phosphoprotein 50EBP50
P54578|Deubiquitinating enzyme 14
P54578|Ubiquitin-specific-processing protease 14
P54578|Ubiquitin thioesterase 14
P23769|GATA-binding protein 2
Q96C19|Swiprosin-1
O14980|Chromosome region maintenance 1 protein homolog
P42166|Thymopoietin-related peptide isoform alphaTPRP isoform alpha
P42166|Thymopoietin isoform alphaTP alpha
Q14244|Microtubule-associated protein 7MAP-7
Q14244|Epithelial microtubule-associated protein of 115 kDaE-MAP-115
Q96T23|Hepatitis B virus X-associated protein
Q96T23|HBV pX-associated protein 8
Q96T23|p325 subunit of RSF chromatin-remodeling complex
O43521-2|Bcl2-interacting mediator of cell death
Q13188|Mammalian STE20-like protein kinase 2MST-2
Q13188|Serine/threonine-protein kinase Krs-1
Q13188|STE20-like kinase MST2

Q06413|Myocyte enhancer factor 2C

P33993|CDC47 homolog
P33993|P1.1-MCM3

Q6Y7W6|PERQ amino acid-rich with GYF domain-containing protein 2
Q6Y7W6|Trinucleotide repeat-containing gene 15 protein
Q2NKX8|ATP-dependent helicase ERCC6-like
Q2NKX8|PLK1-interacting checkpoint helicase
Q2NKX8|Tumor antigen BJ-HCC-15

Q9Y5T5|Deubiquitinating enzyme 16
Q9Y5T5|Ubiquitin thioesterase 16
Q9Y5T5|Ubiquitin-processing protease UBP-M
Q9Y5T5|Ubiquitin-specific-processing protease 16
P26358|MCMT
P26358|DNA methyltransferase HsaIDNA MTase HsaIM.HsaI
P26358|CXXC-type zinc finger protein 9
P27361-3|ERT2
P27361-3|Extracellular signal-regulated kinase 1ERK-1
P27361-3|Insulin-stimulated MAP2 kinase
P27361-3|MAP kinase isoform p44p44-MAPK
P27361-3|Microtubule-associated protein 2 kinase
P27361-3|p44-ERK1
O00399|Protein WS-3
O00399|Dynactin subunit p27

Q8TF76|Germ cell-specific gene 2 protein
Q8TF76|Haploid germ cell-specific nuclear protein kinase
Q8TF76|H-haspin
P17096-2|High mobility group AT-hook protein 1High mobility group protein A1
P17096-2|High mobility group protein R

Q9H1E3|P1


Q9H9S0|Homeobox transcription factor NanoghNanog
Q8NFH8|Partner of RalBP1
Q8NFH8|RalBP1-interacting protein 2
P30101|Endoplasmic reticulum resident protein 60ER protein 60ERp60
P30101|Endoplasmic reticulum resident protein 57ER protein 57ERp57
P30101|Disulfide isomerase ER-60
P30101|58 kDa microsomal proteinp58
P30101|58 kDa glucose-regulated protein
Q8NEB9|Phosphatidylinositol 3-kinase p100 subunit
Q8NEB9|Phosphoinositide-3-kinase class 3
Q8NEB9|hVps34
Q06481|CDEI box-binding proteinCDEBP
Q06481|APPH
Q06481|Amyloid protein homolog
Q96Q89|Cancer/testis antigen 90CT90
Q96Q89|Kinesin family member 20B
Q96Q89|Kinesin-related motor interacting with PIN1
Q96Q89|M-phase phosphoprotein 1MPP1
Q13976-2|cGMP-dependent protein kinase IcGKI
O96013|p21-activated kinase 4PAK-4


P62826|Androgen receptor-associated protein 24
P62826|GTPase Ran
P62826|Ras-like protein TC4
P62826|Ras-related nuclear protein
Q93045|Superior cervical ganglion-10 proteinProtein SCG10
O43255|RING-type E3 ubiquitin transferase SIAH2
O43255|Seven in absentia homolog 2hSiah2Siah-2
O96017|CHK2 checkpoint homolog
O96017|Cds1 homologHucds1hCds1
O96017|Checkpoint kinase 2
Q9UHR4|Insulin receptor tyrosine kinase substrate
P61289|Ki nuclear autoantigen
P61289|Proteasome activator 28 subunit gammaPA28gPA28gamma
P61289|Activator of multicatalytic protease subunit 3
P61289|11S regulator complex subunit gammaREG-gamma
P16403|Histone H1s-1
P16403|Histone H1c
P16403|Histone H1d
P23560|Abrineurin
O60673|Protein reversionless 3-likeREV3-likehREV3
Q08289-2|Calcium channel voltage-dependent subunit beta 2
Q08289-2|Lambert-Eaton myasthenic syndrome antigen BMYSB

P13688-8|Biliary glycoprotein 1BGP-1
O15084|Ankyrin repeat domain-containing protein 28
O15084|Phosphatase interactor targeting protein hnRNP KPITK
P43250|G protein-coupled receptor kinase GRK6
Q15722|Chemoattractant receptor-like 1
Q15722|G-protein coupled receptor 16
Q15722|P2Y purinoceptor 7P2Y7
P08069|Insulin-like growth factor I receptorIGF-I receptor
Q9BSQ5|Malcavernin
Q9BUL8|Cerebral cavernous malformations 3 protein
Q9BUL8|TF-1 cell apoptosis-related protein 15
P17948|Fms-like tyrosine kinase 1FLT-1
P17948|Tyrosine-protein kinase FRT
P17948|Tyrosine-protein kinase receptor FLTFLT
P17948|Vascular permeability factor receptor
O43353|RIP-like-interacting CLARP kinase
O43353|Receptor-interacting protein 2RIP-2
O43353|Tyrosine-protein kinase RIPK2
O43353|CARD-containing interleukin-1 beta-converting enzyme-associated kinaseCARD-containing IL-1 beta ICE-kinase
Q03431|PTH/PTHrP type I receptorPTH/PTHr receptor
Q03431|Parathyroid hormone 1 receptorPTH1 receptor
P12004|Cyclin
P78324|Signal-regulatory protein alpha-3Sirp-alpha-3
P78324|p84
P78324|Brain Ig-like molecule with tyrosine-based activation motifsBit
P78324|Inhibitory receptor SHPS-1
P78324|CD172 antigen-like family member A
P78324|MyD-1 antigen
P78324|Macrophage fusion receptor
P78324|Signal-regulatory protein alpha-1Sirp-alpha-1
P78324|Signal-regulatory protein alpha-2Sirp-alpha-2

P15923|Class B basic helix-loop-helix protein 21bHLHb21
P15923|Immunoglobulin transcription factor 1
P15923|Immunoglobulin enhancer-binding factor E12/E47
P15923|Transcription factor 3TCF-3
P15923|Kappa-E2-binding factor
P15923|Transcription factor ITF-1
P36897|TGF-beta type I receptor
P36897|Transforming growth factor-beta receptor type ITGF-beta receptor type ITbetaR-I
P36897|Activin A receptor type II-like protein kinase of 53kD
P36897|Activin receptor-like kinase 5ALK-5ALK5
P36897|Serine/threonine-protein kinase receptor R4SKR4
Q96SN8|CDK5 activator-binding protein C48
Q96SN8|Centrosome-associated protein 215
P00519|Abelson murine leukemia viral oncogene homolog 1
P00519|Abelson tyrosine-protein kinase 1
P00519|Proto-oncogene c-Abl
P00519|p150
Q96I25|RNA-binding motif protein 17
Q96I25|45 kDa-splicing factor
P78527|DNPK1
P78527|p460
Q96SD1|Protein A-SCID
Q96SD1|DNA cross-link repair 1C protein
Q96SD1|SNM1 homolog ChSNM1C
Q96SD1|SNM1-like protein

Q14191|DNA helicase, RecQ-like type 3RecQ3
Q14191|Exonuclease WRN
Q14191|RecQ protein-like 2
Q9UGP5|DNA polymerase beta-2Pol beta2
Q9UGP5|DNA polymerase kappa
P23025|Xeroderma pigmentosum group A-complementing protein
Q9H9Q4|XRCC4-like factor
Q9H9Q4|Protein cernunnos
P13010|ATP-dependent DNA helicase II 80 kDa subunit
P13010|CTC box-binding factor 85 kDa subunitCTC85CTCBF
P13010|86 kDa subunit of Ku antigen
P13010|ATP-dependent DNA helicase 2 subunit 2
P13010|X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)
P13010|Nuclear factor IV
