uniprot_id|name|short



P16104|Histone H2A.X
P55107|Bone-inducing proteinBIP
P55107|Bone morphogenetic protein 3BBMP-3B







O43184|Meltrin-alpha

O60241|Brain-specific angiogenesis inhibitor 2








O75312|Zinc finger protein 259
Q01959|Solute carrier family 6 member 3

P98175|G patch domain-containing protein 9
P98175|RNA-binding motif protein 10
P98175|RNA-binding protein S1-1S1-1


P00966|Citrulline--aspartate ligase


O96001|G-substrate


P16066|Guanylate cyclase AGC-A
P16066|Atrial natriuretic peptide receptor type AANP-AANPR-ANPR-A
P00558|Cell migration-inducing gene 10 protein
P00558|Primer recognition protein 2PRP 2






Q6ZUJ8|B-cell adapter for phosphoinositide 3-kinase
Q6ZUJ8|B-cell phosphoinositide 3-kinase adapter protein 1


P01583|Hematopoietin-1



O75995|SH3 protein expressed in lymphocytes homolog








P21399|Iron-responsive element-binding protein 1IRE-BP 1
P21399|Iron regulatory protein 1IRP1
P21399|Citrate hydro-lyase
P21399|Ferritin repressor protein

















Q969Q4|ADP-ribosylation factor-like tumor suppressor protein 1











O14514|Brain-specific angiogenesis inhibitor 1
Q9UHR4|Insulin receptor tyrosine kinase substrate








A0A1B0GUI7|BRD3 opposite strand protein
A0A1B0GUI7|Long intergenic non-protein coding RNA 94
A0A1B0GUI7|Non-protein coding RNA 94


A0PK05|Kidney-specific secretory protein of 37 kDa
Q9BTK6|Glutamate-rich coactivator interacting with SRC1GAS
Q9BTK6|PAXIP1-associated protein 1
Q9BTK6|PTIP-associated protein 1
Q68CQ1|HEAT repeat-containing protein 8

O43598|c-Myc-responsive protein RCL




Q08AD1|Calmodulin-regulated spectrin-associated protein 1-like protein 1



Q6YP21|Cysteine-S-conjugate beta-lyase 2
Q6YP21|Kynurenine aminotransferase 3
Q6YP21|Kynurenine aminotransferase IIIKATIII
Q6YP21|Kynurenine--glyoxylate transaminase
Q6YP21|Kynurenine--oxoglutarate transaminase III



O60508|Cell division cycle 40 homolog
O60508|EH-binding protein 3Ehb3
O60508|PRP17 homologhPRP17







P51800|ClC-K1










P10606|Cytochrome c oxidase polypeptide Vb



P53673|Beta-A4 crystallin
P43320|Beta-crystallin Bp
P43320|Beta-B2 crystallin

A0A3B3IRI2|UTP--ammonia ligase







P20815|CYPIIIA5
P20815|Cytochrome P450-PCN3







Q9NXZ2|Cancer/testis antigen 13CT13
Q9NXZ2|DEAD box protein 43
Q9NXZ2|DEAD box protein HAGE
Q9NXZ2|Helical antigen




O43143|ATP-dependent RNA helicase #46
O43143|DEAH box protein 15


O95886|PSD-95/SAP90-binding protein 3
O95886|SAP90/PSD-95-associated protein 3SAPAP3












Q9BY15|EGF-like module receptor 3
Q9BY15|EGF-like module-containing mucin-like hormone receptor-like 3





Q9H8M9|Transmembrane protein 166
Q9H8M9|Protein FAM176A
Q7L4E1|Protein FAM73B












P48165|Connexin-50Cx50
P48165|Lens fiber protein MP70


Q96PE1|G-protein coupled receptor 124
Q96PE1|Tumor endothelial marker 5
Q8IWK6|G-protein coupled receptor 125


O15217|GST class-alpha member 4
O15217|Glutathione S-transferase A4-4

P07305|Histone H1(0)
P07305|Histone H1'

Q02539|Histone H1a
P10412|Histone H1b
P10412|Histone H1s-4
P22492|Testicular H1 histone
P31629|Human immunodeficiency virus type I enhancer-binding protein 2HIV-EP2
P31629|MHC-binding protein 2MBP-2





Q9NSE4|Isoleucyl-tRNA synthetaseIleRS

O14879|CIG49
O14879|ISG-60
O14879|Interferon-induced 60 kDa proteinIFI-60K
O14879|Interferon-induced protein with tetratricopeptide repeats 4IFIT-4
O14879|Retinoic acid-induced gene G proteinP60RIG-G

Q8TDY8|Neighbor of punc e11
Q8TDY8|Protein DDM36hDDM36




P78412|Iroquois homeobox protein 6
P78412|Homeodomain protein IRXB3






Q8TCG1|Cancerous inhibitor of PP2A
Q8TCG1|p90 autoantigen
A0MZ66|Shootin1








O76013|Keratin-36K36
O76013|Hair keratin, type I Ha6
P48668|Cytokeratin-6CCK-6C
P48668|Type-II keratin Kb12
P48668|Keratin-6CK6C
P48668|Keratin K6h
P48668|Cytokeratin-6ECK-6E





Q9Y2U8|LEM domain-containing protein 3







O15479|MAGE-B2 antigen
O15479|MAGE XP-2 antigen
O15479|DSS-AHC critical interval MAGE superfamily 6DAM6
O15479|Cancer/testis antigen 3.2CT3.2




P43121|Cell surface glycoprotein P1H12
P43121|S-endo 1 endothelial-associated antigen
P43121|Melanoma-associated antigen MUC18
P43121|Melanoma-associated antigen A32
P43121|Melanoma cell adhesion molecule


Q7L2J0|Bicoid-interacting protein 3 homologBin3 homolog

A0A494BZY7|Protein-lysine N-methyltransferase METTL10
A0A494BZY7|Methyltransferase-like protein 10





Q86VD1|Cancer/testis antigen 33CT33
O00566|M phase phosphoprotein 10

Q765P7|Actin-bundling with BAIAP2 homology protein 1ABBA-1
Q765P7|MTSS1-like protein
Q9Y2K3|Myosin heavy chain 15







Q15742|Melanoma-associated delayed early response proteinProtein MADER
Q15742|EGR-1-binding protein 2







O43861|ATPase class II type 9B




A0A024R4E1|Nicotinate-nucleotide adenylyltransferase







Q7Z417|Cell proliferation-inducing gene 1 protein
Q7Z417|FMRP-interacting protein 2
Q7Z417|82 kDa FMRP-interacting protein82-FIP


O15504|NLP-1
O15504|NUP42 homolog
O15504|Nucleoporin hCG1
O15504|Nucleoporin-42
O15504|Nucleoporin-like protein 2

Q9UKZ4|Protein Odd Oz/ten-m homolog 1
Q9UKZ4|Tenascin-M1Ten-m1
Q9UKZ4|Teneurin transmembrane protein 1
Q8NH42|Olfactory receptor OR14-27









P29803|PDHE1-A type II
O00151|LIM domain protein CLP-36
O00151|Elfin
O00151|C-terminal LIM domain protein 1


P78562|Metalloendopeptidase homolog PEX
P78562|Vitamin D-resistant hypophosphatemic rickets protein
P78562|X-linked hypophosphatemia proteinHYP



P01833|Hepatocellular carcinoma-associated protein TB6







P20265|Brain-specific homeobox/POU domain protein 2Brain-2Brn-2
P20265|Nervous system-specific octamer-binding transcription factor N-Oct-3
P20265|Octamer-binding protein 7Oct-7
P20265|Octamer-binding transcription factor 7OTF-7




O60927|Hemochromatosis candidate gene V proteinHCG V
O60927|Protein phosphatase 1 regulatory subunit 11
O60927|Protein phosphatase inhibitor 3
Q8TAE6|Serologically defined breast cancer antigen NY-BR-81
Q8TAE6|PKC-potentiated PP1 inhibitory protein
Q8TAE6|Kinase-enhanced PP1 inhibitor






Q92729|Pancreatic carcinoma phosphatase 2PCP-2
Q92729|Protein-tyrosine phosphatase JPTP-JhPTP-J
Q92729|Protein-tyrosine phosphatase piPTP pi
Q92729|Protein-tyrosine phosphatase receptor omicronPTP-RO
Q92729|Receptor-type protein-tyrosine phosphatase psiR-PTP-psi

Q96NY8|Ig superfamily receptor LNIR
Q96NY8|Nectin cell adhesion molecule 4
Q96NY8|Poliovirus receptor-related protein 4









Q14644|GAP1(IP4BP)
Q14644|Ins P4-binding protein



Q9P2N5|RNA-binding motif protein 27






Q8IYK8|Rad and Gem-like GTP-binding protein 2
Q8NHY2|Constitutive photomorphogenesis protein 1 homologhCOP1
Q8NHY2|RING finger and WD repeat domain protein 2
Q8NHY2|RING finger protein 200
Q8NHY2|RING-type E3 ubiquitin transferase RFWD2












Q14684|RRP1-like protein B

P33763|Protein S-100D
P33763|S100 calcium-binding protein A5




Q6UX04|Antigen NY-CO-10
Q6UX04|Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homologPPIase CWC27
Q6UX04|Serologically defined colon cancer antigen 10






Q8N9Q2|SFRS12-interacting protein 1
Q8N9Q2|SREK1-interacting protein 1
Q8N9Q2|Splicing regulatory protein of 18 kDap18SRP
Q02040|721P
Q02040|B-lymphocyte antigen
Q02040|Splicing factor, arginine/serine-rich 17A
Q02040|Protein XE7
Q02040|Protein kinase A-anchoring protein 17APRKA17A
Q99590|Splicing factor, arginine/serine-rich 2-interacting protein
Q99590|Splicing regulatory protein 129SRrp129
Q99590|SC35-interacting protein 1
Q99590|SR-related and CTD-associated factor 11
Q99590|SRSF2-interacting protein
Q99590|Serine/arginine-rich splicing factor 2-interacting protein
Q99590|CTD-associated SR protein 11
Q99590|Renal carcinoma antigen NY-REN-40


P81133|Class E basic helix-loop-helix protein 14bHLHe14



P78324|Signal-regulatory protein alpha-3Sirp-alpha-3
P78324|p84
P78324|Brain Ig-like molecule with tyrosine-based activation motifsBit
P78324|Inhibitory receptor SHPS-1
P78324|CD172 antigen-like family member A
P78324|MyD-1 antigen
P78324|Macrophage fusion receptor
P78324|Signal-regulatory protein alpha-1Sirp-alpha-1
P78324|Signal-regulatory protein alpha-2Sirp-alpha-2

Q16572|Solute carrier family 18 member 3















Q96RF0|SH3 and PX domain-containing protein 3B
Q96RF0|Sorting nexin-associated Golgi protein 1









P30874|SRIF-1


Q8TCJ2|Source of immunodominant MHC-associated peptides homolog


P09758|Membrane component chromosome 1 surface marker 1
P09758|Cell surface glycoprotein Trop-2
P09758|Pancreatic carcinoma marker protein GA733-1









Q9C0B7|Transmembrane and coiled-coil domain-containing protein 7
Q8N5G2|Macoilin-1
Q8N5G2|Transmembrane protein 57



Q8IWU9|Neuronal tryptophan hydroxylase
Q8IWU9|Tryptophan 5-monooxygenase 2
Q9Y3C4|PRPK-binding protein
Q9Y3C4|TP53RK-binding protein
O15164|E3 ubiquitin-protein ligase TRIM24
O15164|RING finger protein 82
O15164|RING-type E3 ubiquitin transferase TIF1-alpha
O15164|Tripartite motif-containing protein 24







P0DPH7|Alpha-tubulin 2
P0DPH7|Alpha-tubulin 3C
P0DPH7|Tubulin alpha-2 chain
Q6PEY2|Alpha-tubulin 3E








Q9Y385|Yeast ubiquitin-conjugating enzyme UBC6 homolog EHsUBC6e
Q9Y385|E2 ubiquitin-conjugating enzyme J1
Q9Y385|Non-canonical ubiquitin-conjugating enzyme 1NCUBE-1
Q8WVY7|Nuclear proteasome inhibitor UBLCP1


Q9HAW8|UDP-glucuronosyltransferase 1-JUGT-1JUGT1J
Q9HAW8|UDP-glucuronosyltransferase 1A10

Q8IWX7|SMUNC45
O75691|Novel nucleolar protein 73NNP73
O75691|Down-regulated in metastasis protein
O75691|Protein Key-1A6





O96028|Multiple myeloma SET domain-containing proteinMMSET
O96028|Nuclear SET domain-containing protein 2
O96028|Protein trithorax-5
O96028|Wolf-Hirschhorn syndrome candidate 1 protein










Q9Y2X9|Transcription factor ZBP-99
Q9Y2X9|Zinc finger DNA-binding protein 99
Q9Y2X9|GC-box-binding zinc finger protein 1

Q969S3|Zinc finger-like protein 9

O95218|Zinc finger, splicing
O95218|Zinc finger protein 265




















Q3B726|Twist neighbor protein
Q9HCY8|S100 calcium-binding protein A14S114
P53674|Beta-B1 crystallin
O43918|Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy proteinAPECED protein



























Q13242|Pre-mRNA-splicing factor SRp30C
Q13242|Splicing factor, arginine/serine-rich 9




O00767|Delta(9)-desaturaseDelta-9 desaturase
O00767|Fatty acid desaturase
O00767|Stearoyl-CoA desaturasehSCD1






Q96D31|Protein orai-1
Q96D31|Transmembrane protein 142A

Q92692|Herpes virus entry mediator BHerpesvirus entry mediator BHveB
Q92692|Nectin cell adhesion molecule 2
Q92692|Poliovirus receptor-related protein 2

Q9NQR1-2|H4-K20-HMTase KMT5A
Q9NQR1-2|Histone-lysine N-methyltransferase KMT5A
Q9NQR1-2|Lysine N-methyltransferase 5A
Q9NQR1-2|Lysine-specific methylase 5A
Q9NQR1-2|PR/SET domain-containing protein 07PR/SET07PR-Set7
Q9NQR1-2|SET domain-containing protein 8




C9J1I1|Mediator complex subunit 15


Q9UL51|Brain cyclic nucleotide-gated channel 2BCNG-2

Q2M3C7|Sphingosine kinase type 1-interacting protein
Q2M3C7|SPHK1-interactor and AKAP domain-containing protein

O14966|Rab-7-like protein 1
O14966|Ras-related protein Rab-29




Q9UBK9|Androgen receptor trapped clone 27 proteinART-27
Q9UBK9|Ubiquitously expressed transcript protein



Q16600|Zinc finger protein HOK-2
Q16600|Zinc finger protein MOK-2




P58658|SUE21
P58658|Protein FAM176C







Q14264|ERV-3 envelope proteinERV3 envelope protein
Q14264|Envelope polyprotein
Q14264|ERV3-1 envelope protein
Q14264|HERV-R envelope proteinERV-R envelope protein
Q14264|HERV-R_7q21.2 provirus ancestral Env polyprotein



P01036|Cystatin-SA-III
P01036|Cystatin-4
P01036|Salivary acidic protein 1

Q6PCE3|PMMLP
Q6PCE3|Phosphoglucomutase-2-like 1

O14495|Lipid phosphate phosphohydrolase 3
O14495|PAP2-beta
O14495|Phosphatidate phosphohydrolase type 2b
O14495|Phosphatidic acid phosphatase 2bPAP2bPAP-2b
O14495|Vascular endothelial growth factor and type I collagen-inducible proteinVCIP






P35625|Tissue inhibitor of metalloproteinases 3TIMP-3
P35625|Protein MIG-5





Q6UWE0|Leucine-rich repeat and sterile alpha motif-containing protein 1
Q6UWE0|RING-type E3 ubiquitin transferase LRSAM1
Q6UWE0|Tsg101-associated ligasehTAL


Q02790|Immunophilin FKBP52
Q02790|Rotamase
Q02790|FK506-binding protein 4FKBP-4
Q02790|HSP-binding immunophilinHBI
Q02790|FKBP59
Q02790|59 kDa immunophilinp59
Q02790|51 kDa FK506-binding proteinFKBP51
Q02790|52 kDa FK506-binding protein52 kDa FKBPFKBP-52
O43854|Integrin-binding protein DEL1
O43854|Developmentally-regulated endothelial cell locus 1 protein


Q86XN8|RING finger and KH domain-containing protein 1
Q86XN8|TINO
Q86XN8|RING finger protein 193



Q99584|S100 calcium-binding protein A13
Q96A65|Exocyst complex component Sec8



A0A0C4DG17|37/67 kDa laminin receptorLRP/LR
A0A0C4DG17|67 kDa laminin receptor67LR
A0A0C4DG17|Laminin receptor 1LamR
A0A0C4DG17|Laminin-binding protein precursor p40LBP/p40
A0A0C4DG17|37 kDa laminin receptor precursor37LRP



Q8IZP9|G-protein coupled receptor 64
Q8IZP9|Human epididymis-specific protein 6He6

















Q9H0L4|CF-1 64 kDa subunit tau variant
Q9H0L4|TauCstF-64
Q9H0L4|Cleavage stimulation factor 64 kDa subunit tau variantCSTF 64 kDa subunit tau variant




O75420|PERQ amino acid-rich with GYF domain-containing protein 1
Q96B67|TBP-2-like inducible membrane proteinTLIMP


O95980|Suppressor of tumorigenicity 15 protein



Q9BTU6|Phosphatidylinositol 4-kinase type II-alpha
Q53GS7|GLE1-like protein


P49427|(E3-independent) E2 ubiquitin-conjugating enzyme R1
P49427|E2 ubiquitin-conjugating enzyme R1
P49427|Ubiquitin-conjugating enzyme E2-32 kDa complementing
P49427|Ubiquitin-conjugating enzyme E2-CDC34
P49427|Ubiquitin-protein ligase R1

















Q8NBP7|Subtilisin/kexin-like protease PC9
Q8NBP7|Proprotein convertase 9PC9
Q8NBP7|Neural apoptosis-regulated convertase 1NARC-1

P98066|Tumor necrosis factor alpha-induced protein 6TNF alpha-induced protein 6
P98066|TNF-stimulated gene 6 proteinTSG-6
P98066|Hyaluronate-binding protein



Q8N688|Beta-defensin 23DEFB-23
Q8N688|Defensin, beta 123





P85037|Myocyte nuclear factorMNF









P27987|Inositol 1,4,5-trisphosphate 3-kinase BIP3 3-kinase BIP3K BInsP 3-kinase B

Q9UIK5|Hyperplastic polyposis protein 1
Q9UIK5|Transmembrane protein with EGF-like and two follistatin-like domains


Q92917|G-patch domain-containing protein 5
Q92917|Protein MOS2 homolog
Q92917|Protein T54















P78369|Oligodendrocyte-specific protein-likeOSP-like
Q9NP50|Protein FAM60A
Q9NP50|Tera protein homolog
Q9UBY0|Solute carrier family 9 member 2
Q9UBY0|Na(+)/H(+) exchanger 2NHE-2


Q8NHY0|Sd(a) beta-1,4-GalNAc transferase
Q8NHY0|UDP-GalNAc:Neu5Aca2-3Galb-R b1,4-N-acetylgalactosaminyltransferase



P08235|Nuclear receptor subfamily 3 group C member 2

Q5TA89|Class B basic helix-loop-helix protein 38bHLHb38
Q5TA89|Hairy and enhancer of split 5

Q86WD7|Germinal center B-cell-expressed transcript 1 protein
Q86WD7|Centerin



Q86YS7|C2 domain-containing phosphoprotein of 138 kDa
Q9NRR4|Protein Drosha
Q9NRR4|Ribonuclease IIIRNase III
Q9NRR4|p241
Q53GA4|Tumor-suppressing STF cDNA 3 protein
Q53GA4|Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein
Q53GA4|Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein
Q53GA4|Imprinted in placenta and liver protein
Q53GA4|p17-Beckwith-Wiedemann region 1 Cp17-BWR1C
Q8N2Y8|Interacting protein of Rab1
Q8N2Y8|RUN and SH3 domain-containing protein 2













Q9HCU4|Cadherin family member 10
Q9HCU4|Epidermal growth factor-like protein 2EGF-like protein 2
Q9HCU4|Flamingo homolog 3
Q9HCU4|Multiple epidermal growth factor-like domains protein 3Multiple EGF-like domains protein 3









P48051|Potassium channel, inwardly rectifying subfamily J member 6
P48051|Inward rectifier K(+) channel Kir3.2
P48051|KATP-2
P48051|BIR1





Q96JH7|Valosin-containing protein p97/p47 complex-interacting protein p135VCP/p47 complex-interacting 135-kDa protein
Q96JH7|Valosin-containing protein p97/p47 complex-interacting protein 1




Q15365|Nucleic acid-binding protein SUB2.3
Q15365|Heterogeneous nuclear ribonucleoprotein E1hnRNP E1
Q15365|Alpha-CP1



A0A0B4J2F2|Salt-inducible kinase 1B
P30793|GTP cyclohydrolase IGTP-CH-I

O15355|Protein phosphatase magnesium-dependent 1 gamma
O15355|Protein phosphatase 2C isoform gammaPP2C-gamma
O15355|Protein phosphatase 1C

P22459|HPCN2
P22459|Voltage-gated K(+) channel HuKII
P22459|Voltage-gated potassium channel HBK4
P22459|Voltage-gated potassium channel HK1
P22459|Voltage-gated potassium channel subunit Kv1.4






P48960|Leukocyte antigen CD97

Q8IWZ8|RNA-binding protein RBP
Q8IWZ8|Splicing factor 4




Q6UWZ7|Coiled-coil domain-containing protein 98
Q6UWZ7|Protein FAM175A












P42025|Actin-related protein 1BARP1B

Q53EU6|1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10AGPAT 10
Q53EU6|1-acyl-sn-glycerol-3-phosphate O-acyltransferase 91-AGPAT 91-AGP acyltransferase 9
Q53EU6|Acyl-CoA:glycerol-3-phosphate acyltransferase 3hGPAT3
Q53EU6|Lung cancer metastasis-associated protein 1
Q53EU6|Lysophosphatidic acid acyltransferase thetaLPAAT-theta
Q53EU6|MAG-1





Q8N392|MacGAP
Q8N392|Rho-type GTPase-activating protein 18

P25705|ATP synthase F1 subunit alpha
P18859|ATP synthase peripheral stalk subunit F6

O95816|Bcl-2-associated athanogene 2






Q9BQ61|Exoribonuclease TRIR

















O95886|PSD-95/SAP90-binding protein 3
O95886|SAP90/PSD-95-associated protein 3SAPAP3


















Q9Y4E1|Vaccinia virus penetration factorVPEF
A6ND36|Protein associated with SMAD1







Q8N1G2|Cap methyltransferase 1
Q8N1G2|Cap1 2'O-ribose methyltransferase 1MTr1hMTr1
Q8N1G2|FtsJ methyltransferase domain-containing protein 2
Q8N1G2|Interferon-stimulated gene 95 kDa proteinISG95



Q9NZM5|Glioma tumor suppressor candidate region gene 2 protein
Q9NZM5|Protein interacting with carboxyl terminus 1PICT-1
Q9NZM5|p60



Q9HC44|GC-rich promoter-binding protein 1-like 1

O60883|Endothelin B receptor-like protein 2ETBR-LP-2




A8MVW5|Mitotic kinetics regulator










Q14678|Ankyrin repeat domain-containing protein 15
Q14678|Kidney ankyrin repeat-containing protein
Q9HB14|Tandem pore domain halothane-inhibited potassium channel 1THIK-1


Q6NYC8|Protein phosphatase 1 F-actin cytoskeleton-targeting subunit
Q6NYC8|Protein phosphatase 1 regulatory subunit 18






Q8IWT6|Leucine-rich repeat-containing protein 8A
Q8IWT6|Swelling protein 1


Q8IVS2|Mitochondrial malonyl CoA:ACP acyltransferase
Q8IVS2|[Acyl-carrier-protein] malonyltransferase
Q8IVS2|Mitochondrial malonyltransferase





Q5JXC2|Invasion-inhibitory protein 45IIp45
Q5JXC2|IGFBP2-binding protein



























Q15124|Phosphoglucomutase-related proteinPGM-RP
Q15124|Aciculin




Q8TD55|Pleckstrin homology domain-containing family Q member 1PH domain-containing family Q member 1















Q8NFH8|Partner of RalBP1
Q8NFH8|RalBP1-interacting protein 2
Q9H426|RIM4 gamma
Q9H426|Rab3-interacting molecule 4RIM 4













Q6ZMJ2|Scavenger receptor hlg


Q8IX01|Arginine/serine-rich-splicing factor 14
Q8IX01|Splicing factor, arginine/serine-rich 14
Q9BX95|Sphingosine-1-phosphatase 1
Q9BX95|Sphingosine-1-phosphate phosphohydrolase 1SPP-1











Q5MIZ7|SMEK homolog 2






P78524|DENN domain-containing protein 2B
P78524|HeLa tumor suppression 1

O95210|Genethonin-1
O95210|Glycophagy cargo receptor STBD1









Q15569|Testicular protein kinase 1






Q15785|Translocase of outer membrane 34 kDa subunit






Q6IPR3|tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase




Q9BVJ6|Antigen NY-CO-16
Q9BVJ6|Serologically defined colon cancer antigen 16






P47974|Butyrate response factor 2
P47974|EGF-response factor 2ERF-2
P47974|TPA-induced sequence 11d
P47974|Zinc finger protein 36, C3H1 type-like 2ZFP36-like 2

Q5VUA4|Endocrine regulatory protein




Q8NHG8|Protein Ells2
Q8NHG8|RING finger protein 202
Q8NHG8|RING-type E3 ubiquitin transferase ZNRF2
Q8NHG8|Zinc/RING finger protein 2

P98174|Rho/Rac guanine nucleotide exchange factor FGD1Rho/Rac GEF
P98174|Zinc finger FYVE domain-containing protein 3
P98174|Faciogenital dysplasia 1 protein
Q9Y3T9|Novel INHAT repressor
Q9Y3T9|NOC2-like protein
P05089|Liver-type arginase
P05089|Type I arginase



O96018|Adapter protein X11gamma
O96018|Neuron-specific X11L2 protein
O96018|Neuronal Munc18-1-interacting protein 3Mint-3







Q9UJ99|Pituitary and brain cadherinPB-cadherin












Q92508|Protein FAM38A
Q92508|Membrane protein induced by beta-amyloid treatmentMib


Q12948|Forkhead-related protein FKHL7
Q12948|Forkhead-related transcription factor 3FREAC-3




P55795|FTP-3
P55795|Heterogeneous nuclear ribonucleoprotein H'hnRNP H'
Q86YV9|Ruby-eye protein homologRu


Q9BR39|Junctophilin type 2
O94819|Kelch domain-containing protein 7B
O94819|Chronic myelogenous leukemia-associated protein













Q8IY33|Junctional Rab13-binding protein
Q8IY33|Molecule interacting with CasL-like 2MICAL-L2

E9PKT9|Sulfur carrier protein MOCS2A
E9PKT9|Molybdenum cofactor synthesis protein 2 small subunit
E9PKT9|Molybdenum cofactor synthesis protein 2AMOCS2A
Q8TE76|Zinc finger CW-type coiled-coil domain protein 2
Q8TE76|Zinc finger CW-type domain protein 4

Q9NPC6|Calsarcin-1
Q9NPC6|FATZ-related protein 2
Q6ZVX7|Non-specific cytotoxic cell receptor protein 1 homolog
Q6ZVX7|NCC receptor protein 1 homologNCCRP-1




Q6IE81|Jade family PHD finger protein 1
Q6IE81|PHD finger protein 17






Q96QC0|p99
Q96QC0|Phosphatase 1 nuclear targeting subunit
Q96QC0|Protein FB19
Q96QC0|MHC class I region proline-rich protein CAT53
Q96QC0|PP1-binding protein of 114 kDa

Q9UKA9|PTB-like protein
Q9UKA9|Neurally-enriched homolog of PTB
Q9UKA9|Neural polypyrimidine tract-binding protein

Q5TC82|RING finger and C3H zinc finger protein 1
Q5TC82|RING finger and CCCH-type zinc finger domain-containing protein 1
Q5TC82|RING finger protein 198

Q6F5E8|Capping protein regulator and myosin 1 linker 2
Q6F5E8|F-actin-uncapping protein RLTPR
Q6F5E8|Leucine-rich repeat-containing protein 16C
Q6F5E8|RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein
Q8N5L8|Rpp25-like protein





















O75385|Autophagy-related protein 1 homologATG1hATG1
O75385|Unc-51-like kinase 1




Q9BRP8|PYM homolog 1 exon junction complex-associated factor
Q9BRP8|Protein wibg homolog

Q9H0D6|DHM1-like proteinDHP protein
Q86U90|Dopamine receptor-interacting protein 3
Q86U90|Ischemia/reperfusion-inducible protein homologhIRIP
Q96T25|Zinc finger protein of the cerebellum 5









A6NMA1|TRPC5 opposite strand protein
A6NMA1|TRPC5-antisense RNA 1










Q14153|Protein simplet

P06702|Calprotectin L1H subunit
P06702|Leukocyte L1 complex heavy chain
P06702|Migration inhibitory factor-related protein 14MRP-14p14
P06702|S100 calcium-binding protein A9
P06702|Calgranulin-B
P31153|Methionine adenosyltransferase 2MAT 2
P31153|Methionine adenosyltransferase IIMAT-II










Q9Y2E8|Na(+)/H(+) exchanger 8NHE-8
Q9Y2E8|Solute carrier family 9 member 8

Q92828|WD repeat-containing protein 2
Q92828|IR10



Q6UX65|Transmembrane protein 77



O15226|Transcription factor NRF
O15226|Protein ITBA4
O15066|Microtubule plus end-directed kinesin motor 3B
O15066|HH0048




Q9P202|Autosomal recessive deafness type 31 protein



Q9H0H3|Ectoderm-neural cortex protein 2ENC-2
Q12986|Nuclear transcription factor, X box-binding protein 1

Q05D60|Coiled-coil domain-containing protein 67




P22897|Human mannose receptorhMR
P22897|C-type lectin domain family 13 member D-like
P22897|C-type lectin domain family 13 member D
P22897|Macrophage mannose receptor 1-like protein 1



A1A4S6|Rho-type GTPase-activating protein 10
A1A4S6|Graf-related protein 2
A1A4S6|GTPase regulator associated with focal adhesion kinase 2





Q01851|Brain-specific homeobox/POU domain protein 3ABrain-3ABrn-3A
Q01851|Homeobox/POU domain protein RDC-1
Q01851|Oct-T1













P28062|Low molecular mass protein 7
P28062|Macropain subunit C13
P28062|Multicatalytic endopeptidase complex subunit C13
P28062|Proteasome component C13
P28062|Proteasome subunit beta-5i
P28062|Really interesting new gene 10 protein






Q96EY5|CIN85/CD2AP family-binding protein
